,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
170,33 56.251,,1:43.224,44,42.694,1:41.982,11,49.997,1:43.573,33,PIT,1:49.226,11,53.445,1:42.970
171,19 56.740,,1:43.044,11,46.842,1:42.896,22,53.911,1:43.102,11,51.537,1:43.163,7,54.226,1:40.593
172,77 58.493,,1:42.521,22,51.227,1:43.200,7,55.171,1:58.428,7,54.695,1:41.147,22,57.624,1:43.118
173,44 61.035,,1:41.677,55,53.784,1:42.454,55,55.998,1:42.632,22,55.568,1:43.280,55,58.186,1:42.481
174,11 64.269,,1:42.834,14,63.848,1:42.789,14,65.854,1:42.424,55,56.767,1:42.392,33,68.774,2:00.346
175,22 68.350,,1:42.823,27,68.974,1:43.184,27,71.448,1:42.892,14,67.084,1:42.853,14,69.564,1:43.542
176,55 71.653,,1:41.940,21,71.014,1:41.825,21,72.635,1:42.039,27,72.687,1:42.862,27,74.431,1:42.806
177,14 81.382,,1:42.226,9,72.965,1:44.309,9,76.015,1:43.468,21,73.059,1:42.047,21,74.950,1:42.953
178,27 86.113,,1:43.079,94,77.236,1:43.644,94,80.327,1:43.509,9,77.942,1:43.550,9,80.751,1:43.871
179,9 88.979,,1:43.484,12,81.736,1:44.434,12,85.227,1:43.909,94,82.205,1:43.501,94,84.741,1:43.598
180,21 89.512,,1:42.271,88,91.835,1:43.883,8,94.930,1:42.416,12,88.333,1:44.729,8,96.723,1:42.345
181,94 93.915,,1:43.439,8,92.932,1:42.599,88,95.575,1:44.158,8,95.440,1:42.133,12,PIT,1:49.854
182,12 97.625,,1:43.909,20,95.403,1:42.386,20,97.799,1:42.814,88,98.089,1:44.137,,,
183,88108.275,,1:44.531,30,96.700,1:47.165,,,,20,99.221,1:43.045,,,
184,30109.858,,1:46.474,,,,,,,,,,,,
185,8110.656,,1:41.473,,,,,,,,,,,,
186,20113.340,,2:00.471,,,,,,,,,,,,
187,NO,GAP,TIME,NO GAP,,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
188,6,,1:41.400,6,,1:40.838,6,,1:41.265,6,,1:41.697,6,,1:41.080
189,20,1 LAP,1:44.823,20 1 LAP,,1:42.920,20,1 LAP,1:43.005,8,1 LAP,1:44.806,21,1 LAP,1:59.469
190,88,PIT,1:48.897,12 1 LAP,,2:02.814,12,1 LAP,1:40.582,20,1 LAP,1:42.974,20,1 LAP,1:42.797
191,5,27.809,1:41.906,88 1 LAP,,2:03.486,88,1 LAP,1:42.009,12,1 LAP,1:41.636,8,PIT,1:48.704
192,30,1 LAP,1:42.304,5 28.662,,1:41.691,5,29.124,1:41.727,5,29.500,1:42.073,12,1 LAP,1:41.662
193,26,31.294,1:42.193,30 1 LAP,,1:42.778,26,33.382,1:41.885,88,1 LAP,1:44.427,94,1 LAP,2:02.488
194,19,46.697,1:42.366,26 32.762,,1:42.306,30,1 LAP,1:44.885,26,33.367,1:41.682,5,30.350,1:41.930
195,44,47.169,1:41.932,19 48.724,,1:42.865,3,50.128,1:41.826,30,1 LAP,1:42.619,88,1 LAP,1:42.844
196,3,47.629,1:41.502,44 49.113,,1:42.782,19,50.764,1:43.305,3,49.975,1:41.544,26,33.964,1:41.677
197,77,49.847,1:43.274,3 49.567,,1:42.776,44,51.194,1:43.346,19,51.879,1:42.812,30,1 LAP,1:43.228
198,7,54.681,1:41.855,77 52.355,,1:43.346,77,54.315,1:43.225,44,52.396,1:42.899,3,50.072,1:41.177
199,11,55.483,1:43.438,7 54.814,,1:40.971,7,54.668,1:41.119,7,54.449,1:41.478,19,53.353,1:42.554
200,55,59.628,1:42.842,11 57.805,,1:43.160,11,59.416,1:42.876,77,56.367,1:43.749,44,53.707,1:42.391
201,22,60.287,1:44.063,55 61.392,,1:42.602,55,62.334,1:42.207,11,60.806,1:43.087,7,54.658,1:41.289
202,33,67.773,1:40.399,22 63.303,,1:43.854,22,65.665,1:43.627,55,62.714,1:42.077,77,58.137,1:42.850
203,14,71.464,1:43.300,33 68.072,,1:41.137,33,67.828,1:41.021,33,67.086,1:40.955,11,62.213,1:42.487
204,27,75.918,1:42.887,14 73.508,,1:42.882,14,74.933,1:42.690,22,PIT,1:48.314,55,63.520,1:41.886
205,21,76.810,1:43.260,27 78.328,,1:43.248,27,80.206,1:43.143,14,76.140,1:42.904,33,67.283,1:41.277
206,9,82.620,1:43.269,21 79.045,,1:43.073,21,PIT,1:47.635,27,81.843,1:43.334,14,77.633,1:42.573
207,94,87.305,1:43.964,9 85.154,,1:43.372,9,87.495,1:43.606,9,89.139,1:43.341,27,84.075,1:43.312
208,8,97.771,1:42.448,94 90.484,,1:44.017,94,PIT,1:49.444,,,,22,88.536,1:57.334
209,,,,8100.182,,1:43.249,,,,,,,9,91.871,1:43.812
210,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
211,6,,1:40.795,6,,1:40.979,6,,1:41.088,6,,1:41.267,6,,1:41.020
212,21,1 LAP,1:40.368,21,1 LAP,1:40.651,21,1 LAP,1:40.971,21,1 LAP,1:41.165,9,1 LAP,1:43.967
213,20,1 LAP,1:42.877,20,1 LAP,1:42.775,27,1 LAP,1:58.502,27,1 LAP,1:39.824,21,1 LAP,1:41.318
214,94,1 LAP,1:41.969,94,1 LAP,1:43.061,20,1 LAP,1:42.879,20,1 LAP,1:42.638,27,1 LAP,1:40.356
215,12,1 LAP,1:42.879,12,1 LAP,1:46.193,94,1 LAP,1:41.997,94,1 LAP,1:41.489,20,1 LAP,1:42.709
216,8,1 LAP,1:59.356,8,1 LAP,1:40.037,8,1 LAP,1:39.923,8,1 LAP,1:40.883,94,1 LAP,1:41.848
217,5,31.298,1:41.743,5,32.212,1:41.893,12,1 LAP,1:43.011,12,1 LAP,1:43.191,8,1 LAP,1:41.091
218,26,35.239,1:42.070,26,36.087,1:41.827,5,32.849,1:41.725,5,33.502,1:41.920,12,1 LAP,1:43.821
219,88,1 LAP,1:44.376,88,1 LAP,1:43.898,26,37.178,1:42.179,26,37.978,1:42.067,5,34.567,1:42.085
220,30,1 LAP,1:43.531,30,1 LAP,1:43.418,88,1 LAP,1:43.729,88,1 LAP,1:43.097,26,39.249,1:42.291
